,MOVIE NAME,GENRE,RUN TIME,STORY,RATING
23,Bin-jip,"<span class=""genre"">
Crime, Drama, Romance            </span>","<span class=""runtime"">88 min</span>","<p class="""">
A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.</p>","<span class=""ipl-rating-star__rating"">7.9</span>"
24,Braveheart,"<span class=""genre"">
Biography, Drama, History            </span>","<span class=""runtime"">178 min</span>","<p class="""">
Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.</p>","<span class=""ipl-rating-star__rating"">8.4</span>"
25,It's a Wonderful Life,"<span class=""genre"">
Drama, Family, Fantasy            </span>","<span class=""runtime"">130 min</span>","<p class="""">
An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.</p>","<span class=""ipl-rating-star__rating"">8.6</span>"
26,Bom yeoreum gaeul gyeoul geurigo bom,"<span class=""genre"">
Drama, Romance            </span>","<span class=""runtime"">103 min</span>","<p class="""">
A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.</p>","<span class=""ipl-rating-star__rating"">8</span>"
27,Alien,"<span class=""genre"">
Horror, Sci-Fi            </span>","<span class=""runtime"">117 min</span>","<p class="""">
The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.</p>","<span class=""ipl-rating-star__rating"">8.5</span>"
28,Salinui chueok,"<span class=""genre"">
Crime, Drama, Mystery            </span>","<span class=""runtime"">131 min</span>","<p class="""">
In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.</p>","<span class=""ipl-rating-star__rating"">8.1</span>"
29,Vozvrashchenie,"<span class=""genre"">
Drama            </span>","<span class=""runtime"">110 min</span>","<p class="""">
In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.</p>","<span class=""ipl-rating-star__rating"">7.9</span>"
30,Ang-ma-reul bo-at-da,"<span class=""genre"">
Action, Crime, Drama            </span>","<span class=""runtime"">144 min</span>","<p class="""">
A secret agent exacts revenge on a serial killer through a series of captures and releases.</p>","<span class=""ipl-rating-star__rating"">7.8</span>"
31,Bacheha-Ye aseman,"<span class=""genre"">
Drama, Family, Sport            </span>","<span class=""runtime"">89 min</span>","<p class="""">
After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.</p>","<span class=""ipl-rating-star__rating"">8.2</span>"
32,Jodaeiye Nader az Simin,"<span class=""genre"">
Drama            </span>","<span class=""runtime"">123 min</span>","<p class="""">
A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.</p>","<span class=""ipl-rating-star__rating"">8.3</span>"
